source,brand,temporal_stance,opportunity_area,detectability,n_area,n_cell,proportion,ci_low,ci_high,severity_mean,proximity_weight,oi,gate_reason,ratio,difference,p,n_ajio,n_pool,significant_at_alpha
play,myntra,post_purchase,OA-12,strong,30,5757,0.005211047420531527,0.003652705722440852,0.007429261951386291,2.3214285714285716,0.3,0.001563,,2.1299,0.0059,0.00049,5496.0,5757.0,True
play,ajio,post_purchase,OA-03,strong,10,5496,0.001819505094614265,0.000988641998259051,0.0033462936538326982,1.9,0.7,0.001274,,1.4964,0.0006,0.409893,5496.0,5757.0,False
play,myntra,post_purchase,OA-03,strong,7,5757,0.0012159110647906896,0.0005891189640068678,0.0025079040921260577,1.2857142857142858,0.7,0.000851,,1.4964,0.0006,0.409893,5496.0,5757.0,False
play,ajio,post_purchase,OA-05,moderate,5,5496,0.0009097525473071324,0.00038865254454324347,0.002128048877548674,1.6,0.6,0.000546,,2.6187,0.0006,0.231715,5496.0,5757.0,False
play,myntra,post_purchase,OA-05,moderate,2,5757,0.0003474031613687685,9.527564762286226e-05,0.0012658898829243643,1.0,0.6,0.000208,,2.6187,0.0006,0.231715,5496.0,5757.0,False
play,ajio,post_purchase,OA-10,none,15,5496,0.0027292576419213972,0.0016547092787867561,0.0044984606033048255,1.0909090909090908,1.0,,not adjudicable from public text,,,0.000323,5496.0,5757.0,
play,ajio,post_purchase,none,,3144,5496,0.5720524017467249,0.5589256385169074,0.5850785124990793,2.2907180385288965,,,,0.7067,-0.2374,0.0,5496.0,5757.0,True
play,myntra,post_purchase,OA-10,none,1,5757,0.00017370158068438424,3.066325231350966e-05,0.000983330773116577,,1.0,,not adjudicable from public text,,,0.000323,5496.0,5757.0,
play,myntra,post_purchase,none,,4660,5757,0.8094493659892305,0.7990993496301178,0.8193866867360668,2.401315789473684,,,,0.7067,-0.2374,0.0,5496.0,5757.0,True
play,urbanic,post_purchase,none,,4,11,0.36363636363636365,0.1516647109536757,0.6461988254921511,1.0,,,,0.7067,-0.2374,0.0,5496.0,5757.0,True
play,urbanic,pre_purchase,OA-04,strong,1,2,0.5,0.09453120573423068,0.9054687942657693,1.0,0.7,0.35,,2.3634,0.0808,0.013145,357.0,135.0,True
play,myntra,pre_purchase,OA-01,strong,20,135,0.14814814814814814,0.09799599310880738,0.2177703434961176,1.6,0.9,0.133333,,0.8887,-0.0165,0.634067,357.0,135.0,False
play,ajio,pre_purchase,OA-01,strong,47,357,0.13165266106442577,0.10046830656514989,0.1706797459354154,1.6956521739130435,0.9,0.118487,,0.8887,-0.0165,0.634067,357.0,135.0,False
play,ajio,pre_purchase,OA-04,strong,50,357,0.1400560224089636,0.10787582512222307,0.17990002846197953,1.5,0.7,0.098039,,2.3634,0.0808,0.013145,357.0,135.0,True
play,ajio,pre_purchase,OA-02,strong,34,357,0.09523809523809523,0.0689547072099161,0.13013954059488758,2.1515151515151514,1.0,0.095238,,2.1429,0.0508,0.065845,357.0,135.0,False
play,ajio,pre_purchase,OA-12,strong,81,357,0.226890756302521,0.18648710561571458,0.27310935916607343,2.049382716049383,0.3,0.068067,,1.7017,0.0936,0.020907,357.0,135.0,True
play,myntra,pre_purchase,OA-02,strong,6,135,0.044444444444444446,0.020526108939506814,0.09357135845423811,2.0,1.0,0.044444,,2.1429,0.0508,0.065845,357.0,135.0,False
play,myntra,pre_purchase,OA-04,strong,8,135,0.05925925925925926,0.030330360942061367,0.11257694491042358,1.625,0.7,0.041481,,2.3634,0.0808,0.013145,357.0,135.0,True
play,myntra,pre_purchase,OA-12,strong,18,135,0.13333333333333333,0.08603170973575416,0.2009247884104308,2.125,0.3,0.04,,1.7017,0.0936,0.020907,357.0,135.0,True
play,ajio,pre_purchase,OA-11,strong,23,357,0.06442577030812324,0.04331052208677464,0.09481512174469228,1.2173913043478262,0.5,0.032213,,1.7395,0.0274,0.241967,357.0,135.0,False
